XXX,CityName,CityNo,CityTax,CountyName,CountyNo,CountyTax, SPDName,SPDNo,SPDTax,SPD2Name,SPD2No,SPD2Tax,SPD3Name,SPD3No,SPD3Tax, TransitName,TransitNo,TransitTax,Transit2Name,Transit2No,Transit2Tax, TotalTax
Alamo                         ,2108092,0.02,Hidalgo                       ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Alamo Beach                   ,n/a    ,0,Calhoun                       ,4029007,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Alamo Heights                 ,2015021,0.015,Bexar                         ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,San Antonio MTA               ,3015995,0.005,n/a                           ,n/a    ,0,0.0825
Alba                          ,2250043,0.015,Rains                         ,4190000,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Alba                          ,2250043,0.015,Wood                          ,4250007,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Albany                        ,2209027,0.02,Shackelford                   ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Albert                        ,n/a    ,0,Gillespie                     ,4086007,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Albion                        ,n/a    ,0,Red River                     ,4194006,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Aledo                         ,2184053,0.015,Parker                        ,4184008,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Alexander                     ,n/a    ,0,Erath                         ,4072003,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Alfred                        ,n/a    ,0,Jim Wells                     ,4125000,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Algerita                      ,n/a    ,0,San Saba                      ,4206002,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Alice                         ,2125028,0.015,Jim Wells                     ,4125000,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Alief                         ,n/a    ,0,Harris                        ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,Houston MTA                   ,3101990,0.01,n/a                           ,n/a    ,0,0.0725
Allen                         ,2043072,0.02,Collin                        ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Allenfarm                     ,n/a    ,0,Brazos                        ,4021005,0.005,Brazos Co ESD 1,5021513,0.015,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Allentown                     ,n/a    ,0,Angelina                      ,4003007,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Alleyton                      ,n/a    ,0,Colorado                      ,4045007,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Alma                          ,2070112,0.02,Ellis                         ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Alpine                        ,2022013,0.015,Brewster                      ,4022004,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Altair                        ,n/a    ,0,Colorado                      ,4045007,0.005,Rice Hosp Dist               ,5045506,0.005,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0725
Alto                          ,2037016,0.015,Cherokee                      ,4037007,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Alto Springs                  ,n/a    ,0,Falls                         ,4073002,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
Alton                         ,2108172,0.02,Hidalgo                       ,n/a    ,0,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0825
Alum Creek                    ,n/a    ,0,Bastrop                       ,4011007,0.005,n/a                                  ,n/a    ,0,n/a                                  ,n/a    ,0,N/A                                  ,N/A    ,0,n/a                           ,n/a    ,0,n/a                           ,n/a    ,0,0.0675
